,ATL,PEK,DXB,TYO,LON,LAX,PAR,FRA,IST,SIN,MAD,AMS,DFW,CAN,SAO
ATL,0,740,740,740,740,485,825,825,740,740,825,740,230,740,740
PEK,740,0,740,315,910,740,740,740,740,570,740,740,740,315,740
DXB,740,740,0,910,655,740,740,655,485,655,740,740,740,740,740
TYO,740,315,910,0,1080,910,740,,740,655,740,740,740,740,740
LON,740,910,655,1080,0,995,145,230,400,740,230,145,740,740,740
LAX,485,740,740,910,995,0,995,,740,740,740,740,315,740,1080
PAR,825,740,740,740,145,995,0,145,315,740,230,145,740,740,740
FRA,825,740,655,,230,,145,0,315,740,315,145,,740,740
IST,740,740,485,740,400,740,315,315,0,740,,,740,740,740
SIN,740,570,655,655,740,740,740,740,740,0,740,1165,740,,
MAD,825,740,740,740,230,740,230,315,,740,0,,740,740,910
AMS,740,740,740,740,145,740,145,145,,1165,,0,740,740,740
DFW,230,740,740,740,740,315,740,,740,740,740,740,0,740,910
CAN,740,315,740,740,740,740,740,740,740,,740,740,740,0,
SAO,740,740,740,740,740,1080,740,740,740,,910,740,910,,0
