,ATL,PEK,DXB,TYO,LON,LAX,PAR,FRA,IST,SIN,MAD,AMS,DFW,CAN,SAO
ATL,0,8,8,8,8,5,9,9,8,8,9,8,2,8,8
PEK,8,0,8,3,10,8,8,8,8,6,8,8,8,3,8
DXB,8,8,0,10,7,8,8,7,5,7,8,8,8,8,8
TYO,8,3,10,0,12,10,8,8,8,7,8,8,8,8,8
LON,8,10,7,12,0,11,1,2,4,8,2,1,8,8,8
LAX,5,8,8,10,11,0,11,8,8,8,8,8,3,8,12
PAR,9,8,8,8,1,11,0,1,3,8,2,1,8,8,8
FRA,9,8,7,8,2,8,1,0,3,8,3,1,8,8,8
IST,8,8,5,8,4,8,3,3,0,8,4,8,8,8,8
SIN,8,6,7,7,8,8,8,8,8,0,8,13,8,4,8
MAD,9,8,8,8,2,8,2,3,4,8,0,2,8,8,10
AMS,8,8,8,8,1,8,1,1,8,13,2,0,8,8,8
DFW,2,8,8,8,8,3,8,8,8,8,8,8,0,8,10
CAN,8,3,8,8,8,8,8,8,8,4,8,8,8,0,8
SAO,8,8,8,8,8,12,8,8,8,8,10,8,10,8,0
